pressure,temperature,X,cpx,cpx_Al2O3,cpx_CaO,cpx_Cr2O3,cpx_FeO,cpx_K2O,cpx_MgO,cpx_Na2O,cpx_O,cpx_SiO2,cpx_TiO2,cpx_xAlM1,cpx_xAlT,cpx_xCaM2,cpx_xCrM1,cpx_xFe3M1,cpx_xFeM1,cpx_xFeM2,cpx_xKM2,cpx_xMgM1,cpx_xMgM2,cpx_xNaM2,cpx_xSiT,cpx_xTiM1,liq,liq_Al2O3,liq_AlM,liq_CaM,liq_CaO,liq_Cr2O3,liq_FeO,liq_K2O,liq_MgO,liq_Na2O,liq_O,liq_SiO2,liq_TiO2,liq_feM,liq_mgM,liq_pct,liq_pek,liq_phm,liq_pjd,liq_pkj,liq_pol,liq_pq,liq_psl,liq_pti,liq_pwo,liq_sumM,ol,ol_Al2O3,ol_CaO,ol_Cr2O3,ol_FeO,ol_K2O,ol_MgO,ol_Na2O,ol_O,ol_SiO2,ol_TiO2,ol_xCaM2,ol_xFeM1,ol_xFeM2,ol_xMgM1,ol_xMgM2,pig,pig_Al2O3,pig_CaO,pig_Cr2O3,pig_FeO,pig_K2O,pig_MgO,pig_Na2O,pig_O,pig_SiO2,pig_TiO2,pig_xAlM1,pig_xAlT,pig_xCaM2,pig_xCrM1,pig_xFe3M1,pig_xFeM1,pig_xFeM2,pig_xKM2,pig_xMgM1,pig_xMgM2,pig_xNaM2,pig_xSiT,pig_xTiM1,pl,pl_Al2O3,pl_CaO,pl_Cr2O3,pl_FeO,pl_K2O,pl_MgO,pl_Na2O,pl_O,pl_SiO2,pl_TiO2,pl_x(Ca),pl_x(K),pl_x(Na),opx,opx_Al2O3,opx_CaO,opx_Cr2O3,opx_FeO,opx_K2O,opx_MgO,opx_Na2O,opx_O,opx_SiO2,opx_TiO2,opx_xAlM1,opx_xAlT,opx_xCaM2,opx_xCrM1,opx_xFe3M1,opx_xFeM1,opx_xFeM2,opx_xMgM1,opx_xMgM2,opx_xNaM2,opx_xSiT,opx_xTiM1,spn,spn_Al2O3,spn_CaO,spn_Cr2O3,spn_FeO,spn_K2O,spn_MgO,spn_Na2O,spn_O,spn_SiO2,spn_TiO2,spn_xAlM,spn_xAlT,spn_xCrM,spn_xFe3M,spn_xFe3T,spn_xFeM,spn_xFeT,spn_xMgM,spn_xMgT,spn_xTiM,g,g_Al2O3,g_CaO,g_Cr2O3,g_FeO,g_K2O,g_MgO,g_Na2O,g_O,g_SiO2,g_TiO2,g_xAlM2,g_xCaM1,g_xCrM2,g_xFe3M2,g_xFeM1,g_xMgM1,g_xMgM2,g_xTiM2
5,1210,0.444297925,0.11986,2.678954693,18.80103526,0.212982055,4.158229644,0.007407177,24.85570794,0.365755078,0.387667976,48.18407143,0.348188752,0.081778,0.063272,0.73101,0.016563,0.030145,0.071061,0.060472,0.00057561,0.78692,0.1795,0.028442,0.93673,0.013538,0.42448,10.09821138,0.20633,0.37924,13.70844987,0.028403504,8.673302273,0.068572184,14.40534515,2.571387299,0.672773188,48.34735814,1.426197011,0.20272,0.39852,0.051282,0.0016312,0.038656,0.14775,0.0039396,0.15609,0.054148,0.16298,0.040973,0.34255,1.1868,0.22106,0,0.238366667,0,8.712566667,0,57.71573333,0,0,33.33333333,0,0.007151,0.1307,0.13068,0.8693,0.86217,0.01528,3.081874443,3.82113464,0.053256502,5.754725513,0.005943229,38.14610008,0.292949521,0.073489322,46.6954095,2.07511725,0.045622,0.096456,0.14788,0.0041223,0.0056881,0.092643,0.12437,0.00046042,0.77162,0.70462,0.022673,0.90354,0.080306,0.21932,23.48195,21.9639,0,0,0.002775,0,1.515275,0,53.0361,0,0.87856,0.00022241,0.12122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1220,0.553233237,0.08426,2.673435666,18.79220495,0.247277364,3.77357811,0.00583978,25.3549081,0.307913313,0.330912269,48.20421632,0.309714126,0.081602,0.063119,0.73048,0.019225,0.025726,0.064242,0.056716,0.0004547,0.79717,0.18841,0.023938,0.93688,0.012039,0.53027,10.1301997,0.21609,0.38978,14.05538825,0.034090416,8.067486526,0.056238772,15.05418189,2.281766661,0.579051058,48.50285099,1.238745737,0.19161,0.41748,0.051643,0.0019647,0.03336,0.13146,0.00324,0.15817,0.058434,0.17282,0.035683,0.35323,1.215,0.21341,0,0.239,0,7.845833333,0,58.58183333,0,0,33.33333333,0,0.0071704,0.11769,0.11768,0.88231,0.87515,,,,,,,,,,,,,,,,,,,,,,,,,0.17206,23.6988,22.397625,0,0,0.002225,0,1.298975,0,52.602375,0,0.8959,0.00017713,0.10392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1240,0.802935876,,,,,,,,,,,,,,,,,,,,,,,,,0.77364,10.43502964,0.2379,0.41125,14.86353578,0.052892303,6.89902467,0.039591087,16.44544279,1.797296415,0.436265991,48.14519232,0.885729011,0.16674,0.45502,0.054264,0.0030452,0.025123,0.1035,0.0022792,0.16177,0.057477,0.19331,0.025504,0.37372,1.2709,0.17462,0,0.245266748,0,6.211435404,0,60.2099534,0,0,33.33334444,0,0.0073584,0.09317,0.093174,0.90683,0.89947,,,,,,,,,,,,,,,,,,,,,,,,,0.05174,24.07691898,23.15381921,0,0,0.001425,0,0.92167477,0,51.84616204,0,0.92615,0.00011363,0.073733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1250,0.882709709,,,,,,,,,,,,,,,,,,,,,,,,,0.85068,10.78042917,0.25086,0.40927,14.7775836,0.048188978,6.605322213,0.0361244,17.0538368,1.686336899,0.39750707,47.80762682,0.80704405,0.16092,0.47231,0.055348,0.0027795,0.022931,0.097283,0.0020846,0.16488,0.054581,0.20593,0.023279,0.37091,1.2934,0.14932,0,0.2355,0,5.761066667,0,60.6701,0,0,33.33333333,0,0.007065,0.086414,0.086418,0.91359,0.90652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1260,0.887043991,,,,,,,,,,,,,,,,,,,,,,,,,0.85612,10.69750621,0.24996,0.40785,14.66597222,0.04782702,6.621585144,0.035852961,17.36639927,1.673357374,0.394417182,47.6962742,0.800808422,0.1622,0.48295,0.052092,0.002763,0.022795,0.096706,0.0020723,0.16759,0.053518,0.20763,0.02314,0.37169,1.303,0.14388,0,0.234166667,0,5.649,0,60.7835,0,0,33.33333333,0,0.0070246,0.084735,0.084735,0.91527,0.90824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1270,0.891547154,,,,,,,,,,,,,,,,,,,,,,,,,0.86178,10.61276776,0.24903,0.40639,14.55195206,0.047420521,6.635419088,0.035574025,17.68847585,1.660098136,0.391314274,47.58250324,0.794475043,0.16345,0.49399,0.04902,0.0027466,0.02266,0.096132,0.00206,0.1704,0.052502,0.20916,0.023003,0.37231,1.3129,0.13822,0,0.2327,0,5.537766667,0,60.8962,0,0,33.33333333,0,0.0069813,0.083067,0.083066,0.91693,0.90995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1280,0.896207921,,,,,,,,,,,,,,,,,,,,,,,,,0.86765,10.52622873,0.24807,0.40489,14.43547656,0.047039169,6.646789603,0.035287992,18.02017136,1.646577668,0.388133448,47.46631186,0.787983612,0.16466,0.50543,0.046122,0.0027303,0.022525,0.095561,0.0020477,0.17332,0.05153,0.21053,0.022866,0.37277,1.323,0.13235,0,0.231166667,0,5.4274,0,61.0081,0,0,33.33333333,0,0.0069349,0.081413,0.081408,0.91859,0.91166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1290,0.901034276,,,,,,,,,,,,,,,,,,,,,,,,,0.87374,10.43792491,0.24708,0.40334,14.31658433,0.04664883,6.655588286,0.034995217,18.36152259,1.632743422,0.384878629,47.34773729,0.781376495,0.16582,0.5173,0.043388,0.0027141,0.022391,0.094992,0.0020355,0.17634,0.0506,0.21173,0.02273,0.37308,1.3335,0.12626,0,0.229533333,0,5.317866667,0,61.11926667,0,0,33.33333333,0,0.0068856,0.079772,0.079765,0.92023,0.91335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1300,0.906034234,,,,,,,,,,,,,,,,,,,,,,,,,0.88006,10.34782099,0.24607,0.40175,14.19524205,0.046249964,6.661846248,0.034696044,18.71255047,1.618645901,0.381553635,47.22676779,0.774626906,0.16694,0.52959,0.040808,0.0026978,0.022257,0.094424,0.0020234,0.17946,0.04971,0.21279,0.022594,0.37323,1.3443,0.11994,0,0.227766743,0,5.209268403,0,61.22962041,0,0,33.33334444,0,0.0068334,0.078144,0.078134,0.92186,0.91503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1310,0.911215105,,,,,,,,,,,,,,,,,,,,,,,,,0.88662,10.25587643,0.24502,0.4001,14.07147748,0.045843004,6.665456493,0.034390799,19.07342436,1.604265827,0.378162048,47.10332726,0.7677763,0.16802,0.54233,0.038374,0.0026816,0.022123,0.093856,0.0020112,0.1827,0.048855,0.2137,0.022459,0.37324,1.3555,0.11338,0,0.225933333,0,5.101566667,0,61.33916667,0,0,33.33333333,0,0.0067784,0.076529,0.076518,0.92347,0.9167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
